TYPE,SKU,DESCRIPTION,REVENUE,COMMISSION
C&C,222222,Click and Collect,10.0,0.0
PAYG,111111,PAYG,6.0,1.0
INS,555555,ALL Insurance,19.41,2.0
CIOT,444444,CIOT,15.56,5.0
ACC,333333,Accessories,3.59,0.18
TECH,110544,Tech Team 30 mins,18.75,2.0
TECH,666666,Tech Team 10 Mins,3.75,1.0
TECH,777777,Tech Free ,0.0,0.0
BUNDLES,104006,Extra - 100 international texts abroad from the UK-Add On,17.61,1.76
BUNDLES,105694,Extra 1GB data (monthly)-Data Add On,9.3,0.93
BUNDLES,105695,Extra 2GB data (monthly)-Data Add On,11.5,1.15
BUNDLES,106116,Vodafone One Net Anywhere-Mobile One Net,54.49,5.45
BUNDLES,108440,Prime Contact Business-Add On,7.67,0.77
BUNDLES,108532,Vodafone International Saver 100-Add On,7.23,0.72
BUNDLES,108534,Vodafone International Saver 500-Add On,10.38,1.04
BUNDLES,109352,Extra 1GB data (one-off)-Data Add On,0.0,0.0
BUNDLES,109353,Extra 15GB data (monthly)-Data Add On,12.5,1.25
BUNDLES,109902,Non-Geo 300 mins to 084 and 087-Add On,0.0,0.0
BUNDLES,111876,Extra 500MB data (one-off)-Data Add On,0.0,0.0
BUNDLES,111682,UK 2GB 4G 90 days 10GBP,2.8,0.28
BUNDLES,111683,UK 8GB 4G 90 days 20GBP,5.6,0.56
BUNDLES,105873,UK 15GB 4G 90 days 25GBP,7.0,0.7
BUNDLES,112720,UK 12GB 4G 365 days 30 GBP,8.4,0.84
BUNDLES,111684,UK 100GB 4G 90 days 50GBP,14.0,1.4
BUNDLES,112721,UK 24GB 4G 730 days 45 GBP,12.6,1.26
BUNDLES,108157,300 Non-Geographical mins,2.0,0.2
BUNDLES,104944,100 MMS,2.0,0.2
BUNDLES,104011,Vodafone Call Abroad - 75 minutes-Add On,10.93,1.09
BUNDLES,104010,Vodafone Call Abroad - 200 minutes-Add On,15.46,1.55
BUNDLES,116514,8 day European Roaming Pass,2.4,0.24
