TYPE,SKU,DESCRIPTION,REVENUE,COMMISSION
EBU HBB,112736N,Bus Superfast 1 36m,70.0,21.0
EBU HBB,112736,Bus Superfast 1 36m,20.0,6.0
EBU HBB,112738N,Bus Superfast 2 36m,70.0,21.0
EBU HBB,112738,Bus Superfast 2 36m,20.0,6.0
EBU HBB,113022N,Bus Superfast 1 - Fibre to Your Premises 12m,40.0,12.0
EBU HBB,113022,Bus Superfast 1 - Fibre to Your Premises 12m,20.0,6.0
EBU HBB,113023N,Bus Superfast 1 12m,40.0,12.0
EBU HBB,113023,Bus Superfast 1 12m,20.0,6.0
EBU HBB,113025N,Bus Superfast 1 - Fibre to Your Premises 18m,45.0,13.5
EBU HBB,113025,Bus Superfast 1 - Fibre to Your Premises 18m,20.0,6.0
EBU HBB,113026N,Bus Superfast 1 18m,45.0,13.5
EBU HBB,113026,Bus Superfast 1 18m,20.0,6.0
EBU HBB,113027N,Bus Superfast 2 - Fibre to Your Premises 18m,45.0,13.5
EBU HBB,113027,Bus Superfast 2 - Fibre to Your Premises 18m,20.0,6.0
EBU HBB,113028N,Bus Superfast 2 18m,45.0,13.5
EBU HBB,113028,Bus Superfast 2 18m,20.0,6.0
EBU HBB,113030N,Bus Superfast 1 - Fibre to Your Premises 24m,60.0,18.0
EBU HBB,113030,Bus Superfast 1 - Fibre to Your Premises 24m,20.0,6.0
EBU HBB,113031N,Bus Superfast 1 24m,60.0,18.0
EBU HBB,113031,Bus Superfast 1 24m,20.0,6.0
EBU HBB,113032N,Bus Superfast 2 - Fibre to Your Premises 24m,60.0,18.0
EBU HBB,113032,Bus Superfast 2 - Fibre to Your Premises 24m,20.0,6.0
EBU HBB,113033N,Bus Superfast 2 24m,60.0,18.0
EBU HBB,113033,Bus Superfast 2 24m,20.0,6.0
EBU HBB,113035N,Bus Pro Superfast 1 - Fibre to Your Premises 24m,110.0,33.0
EBU HBB,113035,Bus Pro Superfast 1 - Fibre to Your Premises 24m,20.0,6.0
EBU HBB,113037N,Bus Pro Superfast 2 - Fibre to Your Premises 24m,110.0,33.0
EBU HBB,113037,Bus Pro Superfast 2 - Fibre to Your Premises 24m,20.0,6.0
EBU HBB,113040N,Bus Pro Ultrafast 200 - Fibre to Your Premises 24m,150.0,45.0
EBU HBB,113040,Bus Pro Ultrafast 200 - Fibre to Your Premises 24m,20.0,6.0
EBU HBB,113042N,Bus Pro Ultrafast 500 - Fibre to Your Premises 24m,160.0,48.0
EBU HBB,113042,Bus Pro Ultrafast 500 - Fibre to Your Premises 24m,20.0,6.0
EBU HBB,113044N,Bus Pro Gigafast 900 - Fibre to Your Premises 24m,170.0,51.0
EBU HBB,113044,Bus Pro Gigafast 900 - Fibre to Your Premises 24m,20.0,6.0
EBU HBB,113056N,Bus Pro Superfast 1 36m,165.0,49.5
EBU HBB,113056,Bus Pro Superfast 1 36m,20.0,6.0
EBU HBB,113057N,Bus Pro Superfast 2 36m,165.0,49.5
EBU HBB,113057,Bus Pro Superfast 2 36m,20.0,6.0
EBU HBB,113059N,Bus Superfast 100 - Fibre to Your Premises 24m,70.0,21.0
EBU HBB,113059,Bus Superfast 100 - Fibre to Your Premises 24m,20.0,6.0
EBU HBB,113061N,Bus Pro Superfast 100 - Fibre to Your Premises 24m,120.0,36.0
EBU HBB,113061,Bus Pro Superfast 100 - Fibre to Your Premises 24m,20.0,6.0
EBU HBB,114489N,Test Only - Bus Pro Superfast 1,110.0,33.0
EBU HBB,114489,Test Only - Bus Pro Superfast 1,20.0,6.0
EBU HBB,114490N,Test Only - Bus Pro Superfast 2,110.0,33.0
EBU HBB,114490,Test Only - Bus Pro Superfast 2,20.0,6.0
EBU HBB,114614N,Bus Pro Superfast 1 - Fibre to Your Premises 36m,160.0,48.0
EBU HBB,114614,Bus Pro Superfast 1 - Fibre to Your Premises 36m,20.0,6.0
EBU HBB,114615N,Bus Pro Superfast 2 - Fibre to Your Premises 36m,160.0,48.0
EBU HBB,114615,Bus Pro Superfast 2 - Fibre to Your Premises 36m,20.0,6.0
EBU HBB,114617N,Bus Pro Ultrafast 200 - Fibre to Your Premises 36m,220.0,66.0
EBU HBB,114617,Bus Pro Ultrafast 200 - Fibre to Your Premises 36m,20.0,6.0
EBU HBB,114619N,Bus Pro Ultrafast 500 - Fibre to Your Premises 36m,240.0,72.0
EBU HBB,114619,Bus Pro Ultrafast 500 - Fibre to Your Premises 36m,20.0,6.0
EBU HBB,114621N,Bus Pro Gigafast 900 - Fibre to Your Premises 36m,250.0,75.0
EBU HBB,114621,Bus Pro Gigafast 900 - Fibre to Your Premises 36m,20.0,6.0
EBU HBB,114623N,Bus Pro Superfast 100 - Fibre to Your Premises 36m,160.0,48.0
EBU HBB,114623,Bus Pro Superfast 100 - Fibre to Your Premises 36m,20.0,6.0
EBU HBB,114626N,Bus Superfast 100 - Fibre to Your Premises 18m,65.0,19.5
EBU HBB,114626,Bus Superfast 100 - Fibre to Your Premises 18m,20.0,6.0
EBU MBB,116616N,36m Band X Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116616,36m Band X Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116617N,36m Band X Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116617,36m Band X Tablet Laptop Business Plan 6GB,0.0,0.0
